Current learning rate: 0.01
Epoch: [0][  0/384]	Loss 2.1057 (2.1057)	Accuracy 12.500 (12.500)
Epoch: [0][260/384]	Loss 1.5960 (1.6136)	Accuracy 40.625 (39.799)
Epoch: [0][270/384]	Loss 1.3753 (1.6114)	Accuracy 50.000 (39.818)
Epoch: [0][280/384]	Loss 1.5628 (1.6112)	Accuracy 50.000 (39.802)
Epoch: [0][290/384]	Loss 1.5416 (1.6092)	Accuracy 34.375 (39.841)
Epoch: [0][300/384]	Loss 1.8499 (1.6074)	Accuracy 21.875 (39.836)
Epoch: [0][310/384]	Loss 1.4702 (1.6070)	Accuracy 46.875 (39.952)
Epoch: [0][320/384]	Loss 1.4641 (1.6053)	Accuracy 40.625 (40.012)
Epoch: [0][330/384]	Loss 1.9471 (1.6047)	Accuracy 28.125 (40.087)
Epoch: [0][340/384]	Loss 1.6080 (1.6025)	Accuracy 40.625 (40.112)
Epoch: [0][350/384]	Loss 1.6616 (1.6037)	Accuracy 43.750 (40.037)
Epoch: [0][360/384]	Loss 1.7601 (1.6035)	Accuracy 25.000 (39.950)
Epoch: [0][370/384]	Loss 1.6735 (1.6016)	Accuracy 37.500 (40.010)
Epoch: [0][380/384]	Loss 1.6342 (1.6012)	Accuracy 43.750 (40.010)
Test: [ 0/96]	Loss 1.0614 (1.0614)	Accuracy 81.250 (81.250)
Test: [10/96]	Loss 1.1334 (1.1658)	Accuracy 71.875 (61.932)
Test: [20/96]	Loss 1.1629 (1.1817)	Accuracy 62.500 (62.351)
Test: [30/96]	Loss 1.8727 (1.3745)	Accuracy 18.750 (50.000)
Test: [40/96]	Loss 0.9949 (1.6768)	Accuracy 90.625 (42.683)
Test: [50/96]	Loss 0.9071 (1.5080)	Accuracy 93.750 (53.248)
Test: [60/96]	Loss 0.7806 (1.3909)	Accuracy 93.750 (60.605)
Test: [70/96]	Loss 0.9111 (1.3177)	Accuracy 90.625 (64.745)
Test: [80/96]	Loss 1.5465 (1.3032)	Accuracy 34.375 (64.583)
Test: [90/96]	Loss 1.7195 (1.3249)	Accuracy 15.625 (61.195)
 * Accuracy 58.116
Current best accuracy: 58.11603546142578
112.37185430526733
Current learning rate: 0.01
Epoch: [1][  0/384]	Loss 1.5679 (1.5679)	Accuracy 37.500 (37.500)
Epoch: [1][ 10/384]	Loss 1.3086 (1.5440)	Accuracy 62.500 (43.466)
Epoch: [1][ 20/384]	Loss 1.5063 (1.5500)	Accuracy 43.750 (43.601)
Epoch: [1][ 30/384]	Loss 1.8834 (1.5505)	Accuracy 28.125 (43.246)
Epoch: [1][ 40/384]	Loss 1.5211 (1.5337)	Accuracy 31.250 (43.521)
Epoch: [1][ 50/384]	Loss 1.4493 (1.5495)	Accuracy 50.000 (42.892)
Epoch: [1][ 60/384]	Loss 1.4432 (1.5465)	Accuracy 43.750 (42.316)
Epoch: [1][ 70/384]	Loss 1.5458 (1.5580)	Accuracy 43.750 (41.417)
Epoch: [1][ 80/384]	Loss 1.8599 (1.5681)	Accuracy 34.375 (40.548)
Epoch: [1][ 90/384]	Loss 1.2860 (1.5703)	Accuracy 59.375 (40.522)
Epoch: [1][100/384]	Loss 1.8115 (1.5715)	Accuracy 25.000 (40.316)
Epoch: [1][110/384]	Loss 1.4075 (1.5656)	Accuracy 53.125 (40.681)
Epoch: [1][120/384]	Loss 1.8598 (1.5654)	Accuracy 31.250 (40.599)
Epoch: [1][130/384]	Loss 1.4995 (1.5664)	Accuracy 56.250 (40.553)
Epoch: [1][140/384]	Loss 1.4541 (1.5646)	Accuracy 43.750 (40.802)
Epoch: [1][150/384]	Loss 1.6140 (1.5620)	Accuracy 40.625 (40.915)
Epoch: [1][160/384]	Loss 1.5203 (1.5572)	Accuracy 40.625 (41.091)
Epoch: [1][170/384]	Loss 1.2154 (1.5535)	Accuracy 65.625 (41.319)
Epoch: [1][180/384]	Loss 1.5235 (1.5524)	Accuracy 37.500 (41.333)
Epoch: [1][190/384]	Loss 1.5267 (1.5533)	Accuracy 40.625 (41.083)
Epoch: [1][200/384]	Loss 1.2890 (1.5508)	Accuracy 50.000 (41.045)
Epoch: [1][210/384]	Loss 1.4375 (1.5492)	Accuracy 43.750 (41.129)
Epoch: [1][220/384]	Loss 1.9604 (1.5494)	Accuracy 25.000 (41.290)
Epoch: [1][230/384]	Loss 1.5886 (1.5499)	Accuracy 43.750 (41.207)
Epoch: [1][240/384]	Loss 1.7633 (1.5488)	Accuracy 25.000 (41.260)
Epoch: [1][250/384]	Loss 1.4117 (1.5484)	Accuracy 56.250 (41.210)
Epoch: [1][260/384]	Loss 1.5904 (1.5481)	Accuracy 40.625 (41.248)
Epoch: [1][270/384]	Loss 1.3891 (1.5458)	Accuracy 46.875 (41.398)
Epoch: [1][280/384]	Loss 1.3700 (1.5459)	Accuracy 59.375 (41.403)
Epoch: [1][290/384]	Loss 1.6534 (1.5458)	Accuracy 31.250 (41.398)
Epoch: [1][300/384]	Loss 1.5416 (1.5467)	Accuracy 43.750 (41.476)
Epoch: [1][310/384]	Loss 1.6825 (1.5478)	Accuracy 31.250 (41.409)
Epoch: [1][320/384]	Loss 1.3573 (1.5467)	Accuracy 46.875 (41.482)
Epoch: [1][330/384]	Loss 1.5414 (1.5464)	Accuracy 53.125 (41.503)
Epoch: [1][340/384]	Loss 1.4914 (1.5448)	Accuracy 40.625 (41.569)
Epoch: [1][350/384]	Loss 1.4295 (1.5456)	Accuracy 34.375 (41.515)
Epoch: [1][360/384]	Loss 1.5364 (1.5459)	Accuracy 50.000 (41.517)
Epoch: [1][370/384]	Loss 1.4605 (1.5463)	Accuracy 46.875 (41.425)
Epoch: [1][380/384]	Loss 1.5635 (1.5452)	Accuracy 37.500 (41.478)
Test: [ 0/96]	Loss 1.3378 (1.3378)	Accuracy 40.625 (40.625)
Test: [10/96]	Loss 1.4500 (1.4684)	Accuracy 34.375 (29.261)
Test: [20/96]	Loss 1.5402 (1.5122)	Accuracy 25.000 (27.381)
Test: [30/96]	Loss 1.7883 (1.5794)	Accuracy 21.875 (26.714)
Test: [40/96]	Loss 0.8096 (1.7508)	Accuracy 71.875 (26.753)
Test: [50/96]	Loss 0.6462 (1.5111)	Accuracy 90.625 (40.135)
Test: [60/96]	Loss 0.4024 (1.3460)	Accuracy 96.875 (49.078)
Test: [70/96]	Loss 0.7368 (1.2448)	Accuracy 84.375 (55.106)
Test: [80/96]	Loss 1.2236 (1.2097)	Accuracy 62.500 (57.523)
Test: [90/96]	Loss 1.4506 (1.2159)	Accuracy 53.125 (57.967)
 * Accuracy 55.541
Current best accuracy: 58.11603546142578
106.90118885040283
Current learning rate: 0.01
Epoch: [2][  0/384]	Loss 1.3821 (1.3821)	Accuracy 53.125 (53.125)
Epoch: [2][ 10/384]	Loss 1.7737 (1.5511)	Accuracy 28.125 (41.193)
Epoch: [2][ 20/384]	Loss 1.8511 (1.5347)	Accuracy 28.125 (41.220)
Epoch: [2][ 30/384]	Loss 1.6001 (1.5414)	Accuracy 37.500 (40.423)
Epoch: [2][ 40/384]	Loss 1.5523 (1.5397)	Accuracy 34.375 (41.082)
